mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L178X102X9.5SLBB,"40,4",102,0,0,0,102,102,"51,6",420,"52,8","2,84","93,1",3540,198,"8,28",477,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X9.5X9SLBB,"40,4",102,0,0,0,102,102,"51,6",420,"52,8","2,84","93,1",3850,211,"8,64",501,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L178X102X9.5X19SLBB,"40,4",102,0,0,0,102,102,"51,6",420,"52,8","2,84","93,1",4160,223,"8,99",526,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X22.2SLBB,81,102,0,0,0,102,102,103,807,110,"2,79",205,5290,347,"7,16",791,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X22.2X9SLBB,81,102,0,0,0,102,102,103,807,110,"2,79",205,5830,370,"7,52",841,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X22.2X19SLBB,81,102,0,0,0,102,102,103,807,110,"2,79",205,6450,398,"7,9",890,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X19SLBB,"70,2",102,0,0,0,102,102,"89,7",720,"96,7","2,84",177,4540,298,"7,11",677,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X19X9SLBB,"70,2",102,0,0,0,102,102,"89,7",720,"96,7","2,84",177,4990,318,"7,47",719,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X19X19SLBB,"70,2",102,0,0,0,102,102,"89,7",720,"96,7","2,84",177,5490,339,"7,82",762,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X15.9SLBB,"59,6",102,0,0,0,102,102,"75,5",624,"82,4","2,87",150,3740,246,"7,04",564,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X15.9X9SLBB,"59,6",102,0,0,0,102,102,"75,5",624,"82,4","2,87",150,4120,262,"7,39",600,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X15.9X19SLBB,"59,6",102,0,0,0,102,102,"75,5",624,"82,4","2,87",150,4580,283,"7,77",636,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X14.3SLBB,53,102,0,0,0,102,102,"68,4",570,"75,1","2,9",135,3360,220,"7,01",506,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X14.3X9SLBB,53,102,0,0,0,102,102,"68,4",570,"75,1","2,9",135,3710,236,"7,37",539,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X14.3X19SLBB,53,102,0,0,0,102,102,"68,4",570,"75,1","2,9",135,4080,252,"7,72",572,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X12.7SLBB,"48,2",102,0,0,0,102,102,"61,3",516,"67,5","2,9",121,2990,197,"6,99",449,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X12.7X9SLBB,"48,2",102,0,0,0,102,102,"61,3",516,"67,5","2,9",121,3300,210,"7,34",479,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X12.7X19SLBB,"48,2",102,0,0,0,102,102,"61,3",516,"67,5","2,9",121,3630,225,"7,7",508,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X11.1SLBB,"42,6",102,0,0,0,102,102,"53,9",462,"59,8","2,92",106,2610,172,"6,96",392,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X11.1X9SLBB,"42,6",102,0,0,0,102,102,"53,9",462,"59,8","2,92",106,2880,184,"7,32",418,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X11.1X19SLBB,"42,6",102,0,0,0,102,102,"53,9",462,"59,8","2,92",106,3170,197,"7,67",444,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X9.5SLBB,"36,6",102,0,0,0,102,102,"46,6",405,"51,9","2,95","91,4",2240,147,"6,93",336,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X9.5X9SLBB,"36,6",102,0,0,0,102,102,"46,6",405,"51,9","2,95","91,4",2460,156,"7,26",357,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X9.5X19SLBB,"36,6",102,0,0,0,102,102,"46,6",405,"51,9","2,95","91,4",2710,167,"7,62",380,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X7.9SLBB,"30,6",102,0,0,0,102,102,"39,1",344,"43,8","2,97","76,5",1860,122,"6,91",279,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X7.9X9SLBB,"30,6",102,0,0,0,102,102,"39,1",344,"43,8","2,97","76,5",2050,130,"7,24",297,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X102X7.9X19SLBB,"30,6",102,0,0,0,102,102,"39,1",344,"43,8","2,97","76,5",2260,139,"7,59",316,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L152X89X12.7SLBB,"45,4","88,9",0,0,0,"88,9","88,9","58,1",353,"51,9","2,46","94,6",2980,195,"7,16",467,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X12.7X9SLBB,"45,4","88,9",0,0,0,"88,9","88,9","58,1",353,"51,9","2,46","94,6",3280,210,"7,52",495,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X12.7X19SLBB,"45,4","88,9",0,0,0,"88,9","88,9","58,1",353,"51,9","2,46","94,6",3620,223,"7,9",523,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X9.5SLBB,"34,6","88,9",0,0,0,"88,9","88,9","44,4",277,"40,1","2,5","71,4",2240,147,"7,11",349,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X9.5X9SLBB,"34,6","88,9",0,0,0,"88,9","88,9","44,4",277,"40,1","2,5","71,4",2480,158,"7,47",369,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X9.5X19SLBB,"34,6","88,9",0,0,0,"88,9","88,9","44,4",277,"40,1","2,5","71,4",2720,167,"7,82",390,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X7.9SLBB,29,"88,9",0,0,0,"88,9","88,9","37,3",236,"33,9","2,52","59,8",1860,122,"7,06",290,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X7.9X9SLBB,29,"88,9",0,0,0,"88,9","88,9","37,3",236,"33,9","2,52","59,8",2050,131,"7,42",308,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L152X89X7.9X19SLBB,29,"88,9",0,0,0,"88,9","88,9","37,3",236,"33,9","2,52","59,8",2250,139,"7,77",324,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X19SLBB,"58,6","88,9",0,0,0,"88,9","88,9","75,5",458,"72,1","2,47",133,2640,208,"5,92",460,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X19X9SLBB,"58,6","88,9",0,0,0,"88,9","88,9","75,5",458,"72,1","2,47",133,2970,226,"6,27",497,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X19X19SLBB,"58,6","88,9",0,0,0,"88,9","88,9","75,5",458,"72,1","2,47",133,3340,244,"6,65",533,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X15.9SLBB,"49,8","88,9",0,0,0,"88,9","88,9","63,6",400,"61,6","2,51",113,2170,170,"5,84",385,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X15.9X9SLBB,"49,8","88,9",0,0,0,"88,9","88,9","63,6",400,"61,6","2,51",113,2460,187,"6,22",415,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X15.9X19SLBB,"49,8","88,9",0,0,0,"88,9","88,9","63,6",400,"61,6","2,51",113,2750,202,"6,58",446,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X12.7SLBB,"40,4","88,9",0,0,0,"88,9","88,9","51,6",335,"50,6","2,54","91,3",1730,136,"5,79",306,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X12.7X9SLBB,"40,4","88,9",0,0,0,"88,9","88,9","51,6",335,"50,6","2,54","91,3",1950,148,"6,15",331,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X12.7X19SLBB,"40,4","88,9",0,0,0,"88,9","88,9","51,6",335,"50,6","2,54","91,3",2200,161,"6,53",356,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X9.5SLBB,"30,8","88,9",0,0,0,"88,9","88,9","39,4",263,39,"2,59","69,3",1300,102,"5,74",228,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X9.5X9SLBB,"30,8","88,9",0,0,0,"88,9","88,9","39,4",263,39,"2,59","69,3",1450,110,"6,07",247,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X9.5X19SLBB,"30,8","88,9",0,0,0,"88,9","88,9","39,4",263,39,"2,59","69,3",1640,120,"6,45",265,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X7.9SLBB,"25,8","88,9",0,0,0,"88,9","88,9",33,224,"32,9","2,59","58,2",1080,"84,9","5,72",190,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X7.9X9SLBB,"25,8","88,9",0,0,0,"88,9","88,9",33,224,"32,9","2,59","58,2",1210,"91,6","6,05",205,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X7.9X19SLBB,"25,8","88,9",0,0,0,"88,9","88,9",33,224,"32,9","2,59","58,2",1350,"99,1","6,4",221,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X6.4SLBB,"20,8","88,9",0,0,0,"88,9","88,9","26,7",183,"26,7","2,62","46,7",857,"67,5","5,66",151,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X6.4X9SLBB,"20,8","88,9",0,0,0,"88,9","88,9","26,7",183,"26,7","2,62","46,7",970,"73,6","6,02",163,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X89X6.4X19SLBB,"20,8","88,9",0,0,0,"88,9","88,9","26,7",183,"26,7","2,62","46,7",1090,"79,6","6,38",175,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L127X76X12.7SLBB,38,"76,2",0,0,0,"76,2","76,2","48,4",212,37,"2,09",68,1720,136,"5,97",323,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X12.7X9SLBB,38,"76,2",0,0,0,"76,2","76,2","48,4",212,37,"2,09",68,1950,148,"6,35",346,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X12.7X19SLBB,38,"76,2",0,0,0,"76,2","76,2","48,4",212,37,"2,09",68,2180,159,"6,71",369,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X11.1SLBB,"33,6","76,2",0,0,0,"76,2","76,2","42,7",191,"32,9","2,11","59,8",1510,119,"5,94",282,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X11.1X9SLBB,"33,6","76,2",0,0,0,"76,2","76,2","42,7",191,"32,9","2,11","59,8",1690,129,"6,3",302,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X11.1X19SLBB,"33,6","76,2",0,0,0,"76,2","76,2","42,7",191,"32,9","2,11","59,8",1910,140,"6,68",323,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X9.5SLBB,"29,2","76,2",0,0,0,"76,2","76,2","36,9",167,"28,7","2,13","51,5",1290,102,"5,92",241,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X9.5X9SLBB,"29,2","76,2",0,0,0,"76,2","76,2","36,9",167,"28,7","2,13","51,5",1450,110,"6,27",259,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X9.5X19SLBB,"29,2","76,2",0,0,0,"76,2","76,2","36,9",167,"28,7","2,13","51,5",1640,120,"6,65",277,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X7.9SLBB,"24,4","76,2",0,0,0,"76,2","76,2","31,1",143,"24,3","2,15","42,9",1080,"84,9","5,89",200,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X7.9X9SLBB,"24,4","76,2",0,0,0,"76,2","76,2","31,1",143,"24,3","2,15","42,9",1220,"92,3","6,25",215,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X7.9X19SLBB,"24,4","76,2",0,0,0,"76,2","76,2","31,1",143,"24,3","2,15","42,9",1360,"99,5","6,6",229,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X6.4SLBB,"19,6","76,2",0,0,0,"76,2","76,2",25,117,"19,7","2,17","34,4",853,"67,2","5,84",160,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X6.4X9SLBB,"19,6","76,2",0,0,0,"76,2","76,2",25,117,"19,7","2,17","34,4",961,"72,9","6,2",172,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L127X76X6.4X19SLBB,"19,6","76,2",0,0,0,"76,2","76,2",25,117,"19,7","2,17","34,4",1070,"78,7","6,55",184,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X89X12.7SLBB,"35,2","88,9",0,0,0,"88,9","88,9","45,2",313,"49,2","2,64","88,3",891,"87,7","4,45",172,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X12.7X9SLBB,"35,2","88,9",0,0,0,"88,9","88,9","45,2",313,"49,2","2,64","88,3",1040,"97,8","4,8",193,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X12.7X19SLBB,"35,2","88,9",0,0,0,"88,9","88,9","45,2",313,"49,2","2,64","88,3",1200,108,"5,16",215,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X9.5SLBB,27,"88,9",0,0,0,"88,9","88,9","34,6",246,38,"2,67","67,7",666,"65,5","4,39",126,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X9.5X9SLBB,27,"88,9",0,0,0,"88,9","88,9","34,6",246,38,"2,67","67,7",770,"72,4","4,72",142,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X9.5X19SLBB,27,"88,9",0,0,0,"88,9","88,9","34,6",246,38,"2,67","67,7",891,"80,1","5,08",158,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X7.9SLBB,"22,8","88,9",0,0,0,"88,9","88,9",29,210,"32,1","2,69",57,554,"54,4","4,37",104,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X7.9X9SLBB,"22,8","88,9",0,0,0,"88,9","88,9",29,210,"32,1","2,69",57,641,"60,3","4,7",118,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X7.9X19SLBB,"22,8","88,9",0,0,0,"88,9","88,9",29,210,"32,1","2,69",57,741,"66,7","5,05",131,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X6.4SLBB,"18,4","88,9",0,0,0,"88,9","88,9","23,5",172,"26,1","2,72","45,9",437,"42,9","4,32","81,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X6.4X9SLBB,"18,4","88,9",0,0,0,"88,9","88,9","23,5",172,"26,1","2,72","45,9",508,"47,7","4,65","92,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X89X6.4X19SLBB,"18,4","88,9",0,0,0,"88,9","88,9","23,5",172,"26,1","2,72","45,9",587,"52,8",5,104,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1778"
2L102X76X15.9SLBB,"40,4","76,2",0,0,0,"76,2","76,2","51,5",237,"43,8","2,15","80,3",1120,111,"4,67",241,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X15.9X9SLBB,"40,4","76,2",0,0,0,"76,2","76,2","51,5",237,"43,8","2,15","80,3",1300,122,"5,03",265,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X15.9X19SLBB,"40,4","76,2",0,0,0,"76,2","76,2","51,5",237,"43,8","2,15","80,3",1510,136,"5,41",288,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X12.7SLBB,33,"76,2",0,0,0,"76,2","76,2","41,9",199,"36,1","2,18","65,4",887,"87,2","4,6",192,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X12.7X9SLBB,33,"76,2",0,0,0,"76,2","76,2","41,9",199,"36,1","2,18","65,4",1030,"96,7","4,95",211,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X12.7X19SLBB,33,"76,2",0,0,0,"76,2","76,2","41,9",199,"36,1","2,18","65,4",1190,107,"5,33",231,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X9.5SLBB,"25,2","76,2",0,0,0,"76,2","76,2","32,1",158,"27,9","2,22","49,8",666,"65,5","4,55",141,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X9.5X9SLBB,"25,2","76,2",0,0,0,"76,2","76,2","32,1",158,"27,9","2,22","49,8",774,"72,8","4,9",157,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X9.5X19SLBB,"25,2","76,2",0,0,0,"76,2","76,2","32,1",158,"27,9","2,22","49,8",887,"79,8","5,26",172,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X7.9SLBB,"21,4","76,2",0,0,0,"76,2","76,2",27,135,"23,6","2,24",42,549,"54,1","4,52",118,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X7.9X9SLBB,"21,4","76,2",0,0,0,"76,2","76,2",27,135,"23,6","2,24",42,633,"59,5","4,85",130,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X7.9X19SLBB,"21,4","76,2",0,0,0,"76,2","76,2",27,135,"23,6","2,24",42,737,"66,4","5,23",143,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X6.4SLBB,"17,2","76,2",0,0,0,"76,2","76,2","21,8",111,"19,2","2,25","33,8",437,"42,9","4,47","93,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X6.4X9SLBB,"17,2","76,2",0,0,0,"76,2","76,2","21,8",111,"19,2","2,25","33,8",508,"47,7","4,83",104,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L102X76X6.4X19SLBB,"17,2","76,2",0,0,0,"76,2","76,2","21,8",111,"19,2","2,25","33,8",587,"52,8","5,18",114,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X12.7SLBB,"30,2","76,2",0,0,0,"76,2","76,2",39,194,"35,7","2,23","64,6",604,"67,8","3,94",133,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X12.7X9SLBB,"30,2","76,2",0,0,0,"76,2","76,2",39,194,"35,7","2,23","64,6",720,"76,9","4,29",152,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X12.7X19SLBB,"30,2","76,2",0,0,0,"76,2","76,2",39,194,"35,7","2,23","64,6",849,"86,2","4,67",170,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X11.1SLBB,27,"76,2",0,0,0,"76,2","76,2","34,5",174,"31,8","2,25","57,2",529,"59,5","3,91",116,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X11.1X9SLBB,27,"76,2",0,0,0,"76,2","76,2","34,5",174,"31,8","2,25","57,2",620,"66,2","4,24",132,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
2L89X76X11.1X19SLBB,27,"76,2",0,0,0,"76,2","76,2","34,5",174,"31,8","2,25","57,2",737,"74,9","4,62",148,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1524"
